question_id,section,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,difficulty,topic,subject,source_document,report_category,generated_date,generation_model,generation_type,test_id,test_name,test_series,total_questions,duration_minutes,negative_marking
GA_00001,General Awareness,What is the targeted production capacity of Green Hydrogen per annum under the National Green Hydrogen Mission?,2 million metric tonnes,3 million metric tonnes,5 million metric tonnes,8 million metric tonnes,10 million metric tonnes,C,"The National Green Hydrogen Mission aims to achieve a production capacity of about five million metric tonnes per annum of Green Hydrogen. (Page 290, Para 10.42)",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.032542,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_06,RBI Grade B Phase 1 - Mock Test #06,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00002,General Awareness,"As a result of the Government's consolidation drive under the 'One State-One RRB' policy, the number of Regional Rural Banks (RRBs) has been reduced to how many, effective from 1st May 2025?",43,35,28,56,196,C,"Guided by the principle of 'One State-One RRB', the Government continued with the process of further consolidation of RRBs in Phase-IV, whereby the number of RRBs has been reduced from 43 to 28 with effect from 01.05.2025.",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.032548,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_06,RBI Grade B Phase 1 - Mock Test #06,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00003,General Awareness,"As per the Banking Laws (Amendment) Act, 2025, which came into effect on 1st August 2025, the threshold for 'substantial interest' has been redefined from ₹5 lakh to what revised amount?",₹20 lakh,₹50 lakh,₹1 crore,₹2 crore,₹5 crore,D,"A key amendment in the Banking Laws (Amendment) Act, 2025, which came into effect from 1st August 2025, was to redefine the threshold of ‘substantial interest’ from ₹5 lakh to ₹2 crore, revising a limit that had remained unchanged since 1968.",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.032551,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_06,RBI Grade B Phase 1 - Mock Test #06,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00004,General Awareness,The Directorate of Revenue Intelligence (DRI) conducted a series of crackdowns on drug trafficking syndicates under which pan-India operation code-name?,Operation Rainbow,Operation Crystal Break,Operation Samudra Gupta,Operation Weed Out,Operation Clean Sweep,D,"As part of the ongoing pan-India 'Operation Weed Out', the Directorate of Revenue Intelligence (DRI) has continued its crackdown on drug trafficking syndicates, making several seizures of hydroponic weed across the country.",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.032554,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_06,RBI Grade B Phase 1 - Mock Test #06,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00005,General Awareness,"Under the risk assessment scenarios, what is the estimated impact on domestic inflation if international crude oil prices are 10 per cent above the baseline?",Inflation could be lower by 15 bps,Inflation could be higher by 15 bps,Inflation could be higher by 30 bps,Inflation could be lower by 30 bps,There would be no significant impact on inflation,C,"In the scenario assuming crude oil prices to be 10 per cent above the baseline, domestic inflation could be higher by 30 bps, while GDP growth could be weaker by around 15 bps. (Page 20)",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.032557,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_06,RBI Grade B Phase 1 - Mock Test #06,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00006,General Awareness,"The provisional registration for biostimulant products under the Fertilizer Control Order, 1985, became invalid from which date, after the government decided not to grant any further extensions?",1st April 2025,17th June 2025,31st December 2025,23rd February 2025,1st September 2025,B,"The Government decided not to give any further extension to the provisional registration for biostimulant products beyond 16.06.2025. Accordingly, the Provisional Registration for biostimulants stood invalid since 17.06.2025.",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.032560,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_06,RBI Grade B Phase 1 - Mock Test #06,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00007,General Awareness,The Government of India launched the PM Vishwakarma scheme in November 2024 to support traditional artisans and craftspeople. What was the total financial outlay allocated for this scheme?,"₹10,000 crore","₹13,000 crore","₹15,000 crore","₹19,744 crore","₹25,000 crore",B,"The PM Vishwakarma scheme, launched in November 2024, was introduced with a substantial financial allocation of ₹13,000 crore to uplift traditional artisans.",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.032563,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_06,RBI Grade B Phase 1 - Mock Test #06,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00008,General Awareness,What was the projected CPI headline inflation for the financial year 2025-26?,2.1%,3.1%,4.4%,4.9%,6.5%,B,"Considering all factors, the CPI inflation for 2025-26 is projected at 3.1 per cent, with quarterly projections of 2.1% for Q2, 3.1% for Q3, and 4.4% for Q4.",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.032566,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_06,RBI Grade B Phase 1 - Mock Test #06,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00009,General Awareness,"According to the survey of professional forecasters, what is the median projection for CPI inflation for Q4 of 2025-26 (y-o-y)?",3.9%,4.0%,4.3%,4.4%,4.5%,E,"The median projections of professional forecasters for year-on-year CPI inflation in Q4 of 2025-26 is 4.5 per cent. (Page 18, Table I.3)",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.032569,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_06,RBI Grade B Phase 1 - Mock Test #06,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00010,General Awareness,What is the total outlay approved for the 'Namo Drone Didi' scheme for the period 2023-24 to 2025-26?,₹1000 Crores,₹1261 Crores,₹1500 Crores,₹800 Crores,₹1150 Crores,B,"The 'Namo Drone Didi' scheme was approved as a Central Sector Scheme with an outlay of Rs. 1261 Crores for the period from 2023-24 to 2025-26, aiming to provide 15,000 drones to Women Self Help Groups.",Medium,General,General_Awareness,Converted_from_QuizMaker,converted_quiz,2025-10-26T01:28:26.032572,conversion_script,QuizMaker_Conversion,RBI_PHASE1_MOCK_06,RBI Grade B Phase 1 - Mock Test #06,RBI Grade B 2025 - Premium Series,200,120,0.25
