question_id,section,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,difficulty,topic,subject,source_document,report_category,generated_date,generation_model,generation_type,test_id,test_name,test_series,total_questions,duration_minutes,negative_marking
GA_00146,General Awareness,"The Prime Minister Dhan-Dhaanya Krishi Yojana (PMDDKY), approved in July 2025 for a period of six years, will be implemented through the convergence of how many existing schemes across how many Departments?",30 schemes across 10 Departments,40 schemes across 12 Departments,36 schemes across 11 Departments,25 schemes across 9 Departments,32 schemes across 11 Departments,C,"The Prime Minister Dhan-Dhaanya Krishi Yojana aims to enhance agricultural productivity and will be implemented through the convergence of 36 existing schemes across 11 Departments, along with other State schemes and private partnerships.",Hard,Government_Schemes,General_Awareness,pib_press_releases.txt,,2025-10-04T02:29:33.170111,gemini-2.5-pro,PIB_RAG_Batch_1,RBI_PHASE1_MOCK_04,RBI Grade B Phase 1 - Mock Test #4,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00058,General Awareness,"In March 2025, the government announced a Production Linked Incentive (PLI) scheme for the semiconductor industry. What was the total worth of this scheme?","₹19,744 crore","₹50,000 crore","₹76,000 crore",₹1 lakh crore,₹2 lakh crore,C,"To boost domestic manufacturing of semiconductors, the government announced a Production Linked Incentive (PLI) scheme worth ₹76,000 crore in March 2025.",Medium,Government_Initiatives,General_Awareness,current_affairs.txt,,2025-10-04T03:42:42.583814,gemini-2.5-pro,Current_Affairs_Batch_3,RBI_PHASE1_MOCK_04,RBI Grade B Phase 1 - Mock Test #4,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00088,General Awareness,"During its monetary policy review in February 2025, the Reserve Bank of India increased the repo rate by how many basis points to combat rising inflation?",10 basis points,25 basis points,35 basis points,50 basis points,The repo rate was kept unchanged,B,"In its February 2025 monetary policy review, the RBI increased the repo rate by 25 basis points, taking it from 6.50% to 6.75%, as a measure to control inflation.",Medium,Banking_News,General_Awareness,current_affairs.txt,,2025-10-04T03:44:49.040726,gemini-2.5-pro,Current_Affairs_Batch_5,RBI_PHASE1_MOCK_04,RBI Grade B Phase 1 - Mock Test #4,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00015,General Awareness,"As per the Union Budget 2025-26 presented in January 2025, what fiscal deficit target was set as a percentage of GDP for the financial year 2025-26?",5.1%,4.5%,4.9%,5.8%,4.7%,C,"The Union Budget 2025-26, presented by the Finance Minister, set the fiscal deficit target for the financial year 2025-26 at 4.9% of the Gross Domestic Product (GDP).",Medium,Budget_Fiscal,General_Awareness,current_affairs.txt,,2025-10-04T03:40:39.276000,gemini-2.5-pro,Current_Affairs_Batch_1,RBI_PHASE1_MOCK_04,RBI Grade B Phase 1 - Mock Test #4,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00747,General Awareness,"According to the Systemic Risk Survey (SRS) conducted in May 2025, which of the following groups of factors were identified as the major near-term risks to domestic financial stability?",Domestic inflation and cyberattacks,Real estate price correction and high interest rates,Slowdown in domestic consumption and investment,"Geopolitical conflicts, capital outflows, and reciprocal tariff/trade slowdowns",Climate risks and operational risks in the financial sector,D,"The Assessment of Systemic Risk section, based on the May 2025 survey, identifies geopolitical conflicts, capital outflows, and reciprocal tariff/trade slowdowns as the major near-term risks to domestic financial stability. (Source: Page 20, 'Assessment of Systemic Risk' section)",Medium,Risk_Assessment,General_Awareness,Financial_Stability_Report_Jun_2025.pdf,financial_stability_report,2025-10-02T21:28:28.278762,gemini-2.5-pro,Per_PDF_RAG,RBI_PHASE1_MOCK_04,RBI Grade B Phase 1 - Mock Test #4,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00208,General Awareness,"The Digital Agriculture Mission, approved in September 2024, envisages creating a Digital Public Infrastructure (DPI) for Agriculture. Which of the following is NOT one of the three foundational registries of the AgriStack DPI mentioned in the press release?",Geo-Referenced Village Maps,Crop Sown Registry,Farmers Registry,Soil Health Card Database,All of the above are foundational registries,D,"The press release states that the AgriStack DPI consists of three foundational registries: Geo-Referenced Village Maps, Crop Sown Registry, and the Farmers Registry. The Soil Health Card Database, while part of the broader digital agriculture ecosystem, is not listed as one of these three foundational registries of AgriStack.",Hard,Agriculture_Policies,General_Awareness,pib_press_releases.txt,,2025-10-04T02:33:03.452175,gemini-2.5-pro,PIB_RAG_Batch_4,RBI_PHASE1_MOCK_04,RBI Grade B Phase 1 - Mock Test #4,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00414,General Awareness,"For the financial year 2024-25, what is the CPI inflation projected for the second quarter (Q2)?",4.9%,4.6%,4.5%,3.8%,4.1%,D,"CPI inflation for 2024-25 is projected to be 4.9 per cent in Q1, 3.8 per cent in Q2, 4.6 per cent in Q3 and 4.5 per cent in Q4. (Page 17)",Medium,Inflation,General_Awareness,Monetary_Policy_Report_Apr_2024.pdf,monetary_policy_report,2025-10-02T22:38:23.380090,gemini-2.5-pro,Per_PDF_RAG,RBI_PHASE1_MOCK_04,RBI Grade B Phase 1 - Mock Test #4,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00256,General Awareness,"As part of India's climate action commitments, what was the share of non-fossil fuel-based energy sources in the total installed electricity generation capacity as of May 2024?",32.5%,38.9%,41.2%,45.4%,50.1%,D,"The composition of the electricity sector has changed significantly, with the share of non-fossil power capacity being 45.4 per cent as of May 2024, up from around 32 per cent in April 2014. (page 187, 230)",Medium,Sectoral_Performance,General_Awareness,Economic_Survey_2024_2023.pdf,economic_survey,2025-10-02T22:17:50.433642,gemini-2.5-pro,Per_PDF_RAG,RBI_PHASE1_MOCK_04,RBI Grade B Phase 1 - Mock Test #4,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00569,General Awareness,Private Final Consumption Expenditure (PFCE) as a share of GDP reached its highest level since FY03 in FY25. What was this share?,58.2%,60.3%,61.8%,62.5%,64.1%,C,"PFCE as a share of GDP (at current prices) is estimated to increase from 60.3 per cent in FY24 to 61.8 per cent in FY25, which is the highest share recorded since FY03. (Page 56)",Hard,Economic_Indicators,General_Awareness,Economic_Survey_2024_2025.pdf,economic_survey,2025-10-02T21:01:26.336099,gemini-2.5-pro,Per_PDF_RAG,RBI_PHASE1_MOCK_04,RBI Grade B Phase 1 - Mock Test #4,RBI Grade B 2025 - Premium Series,200,120,0.25
GA_00798,General Awareness,"For a scheme of amalgamation of a banking company brought into force on or after April 1, 2025, for how many assessment years can the accumulated loss of the original predecessor entity be carried forward in the hands of the successor entity?",Four assessment years,Six assessment years,Eight assessment years,Ten assessment years,Indefinitely,C,"The amendment to Section 72AA specifies that for amalgamations effective on or after April 1, 2025, any loss of the predecessor entity shall be carried forward in the hands of the successor entity for not more than eight assessment years immediately succeeding the assessment year for which the loss was first computed for the original predecessor entity. (Page 41, 147)",Hard,Fiscal_Policy,General_Awareness,Union_Budget_2025_2026.pdf,union_budget,2025-10-02T21:32:29.737310,gemini-2.5-pro,Per_PDF_RAG,RBI_PHASE1_MOCK_04,RBI Grade B Phase 1 - Mock Test #4,RBI Grade B 2025 - Premium Series,200,120,0.25
